interest_keywords,major_name,degree_category,employment_outlook,typical_roles,fit_notes,risk_notes
地理科学|理学|理科|科研|数据|教师|GIS工程师|规划师,地理科学,理学,评级B；学习难度3/5；师范方向稳定，GIS方向有技术含量,教师、GIS工程师、规划师,核心课程/能力：自然地理、人文地理、测绘,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
地理科学类|理学|科研助理|数据分析|教师|技术支持,地理科学类,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
地理空间信息工程|工学|工程技术|产品研发|生产运维|项目实施,地理空间信息工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
地质学类|理学|科研助理|数据分析|教师|技术支持,地质学类,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
城乡规划|交叉学科,城乡规划,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
城市地下空间工程|工学|工程技术|产品研发|生产运维|项目实施,城市地下空间工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
城市管理|管理学|运营管理|市场营销|供应链|电子商务,城市管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
基础医学|医学|医生|医院|医院科室|医学科研|基层医疗,基础医学,医学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,医生、医院科室、医学科研、基层医疗,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
外国语言文学类|文学|内容传播|教育|外贸|公共服务,外国语言文学类,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容传播、教育、外贸、公共服务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
大数据工程技术|工学|数据|算法|统计|软件开发|数据分析|AI应用|信息安全,大数据工程技术,工学,评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
大数据管理与应用|工学|数据|算法|统计|软件开发|数据分析|AI应用|信息安全,大数据管理与应用,工学,评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
大气科学|理学|理科|科研|数据|环境|环保|双碳|气象预报员|环境分析员,大气科学,理学,评级C；学习难度4/5；专业窄，但对口就业稳,气象预报员、环境分析员,核心课程/能力：大气物理、天气学、气候学,就业评级C；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
大气科学类|理学|科研助理|数据分析|教师|技术支持,大气科学类,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
天文学|理学|科研助理|数据分析|教师|技术支持,天文学,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
学前教育|教育学|教育|师范|教师|幼儿园教师|早教机构,学前教育,教育学,评级B；学习难度2/5；三孩政策利好，但薪资偏低,幼儿园教师、早教机构,核心课程/能力：学前心理学、学前教育学、幼教课程,就业评级B；学习难度2/5；仍需结合学校层次、城市和实习资源判断
安全工程|工学|工科|工程|技术|安全工程师|消防工程师|EHS管理,安全工程,工学,评级B；学习难度3/5；企业安全管理刚需,安全工程师、消防工程师、EHS管理,核心课程/能力：安全系统工程、风险评估、安全法规,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
审计学|管理学|管理|商业|运营|财经|会计|审计|财务|审计师|内部控制专员,审计学,管理学,评级B；学习难度3/5；四大会计师事务所是大雇主,审计师、内部控制专员,核心课程/能力：审计学、内部控制、鉴证业务,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
家具设计与工程|工学|设计|文创|艺术教育|展演|制作,家具设计与工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
密码科学与技术|工学|软件开发|数据分析|算法|AI应用|信息安全,密码科学与技术,工学,评级B；学习难度5/5；就业面取决于学校平台、城市产业和个人实习/证书积累,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度5/5；就业面取决于学校平台、城市产业和个人实习/证书积累
小学教育|教育学|教育|师范|教师|小学教师,小学教育,教育学,评级A；学习难度2/5；公办编制竞争大但稳定,小学教师,核心课程/能力：小学课程论、儿童发展、班级管理,就业评级A；学习难度2/5；仍需结合学校层次、城市和实习资源判断
嵌入式技术|工学|工程技术|产品研发|生产运维|项目实施,嵌入式技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
工业互联网技术|工学|工程技术|产品研发|生产运维|项目实施,工业互联网技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
工业工程|工学|工程技术|产品研发|生产运维|项目实施,工业工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
工业设计|艺术学|设计|文创|艺术教育|展演|制作,工业设计,艺术学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
工业软件|工学|软件开发|数据分析|算法|AI应用|信息安全,工业软件,工学,评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
工商管理|管理学|管理|商业|运营|企业管理培训生|HR|行政,工商管理,管理学,"评级D；学习难度2/5；内容太泛，""万金油""专业，建议辅修技能",企业管理培训生、HR、行政,核心课程/能力：管理学、组织行为学、市场营销,就业评级D；学习难度2/5；谨慎选择，需用证书、实习或作品拉开差距
工商管理类|管理学|运营管理|市场营销|供应链|电子商务,工商管理类,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
工科试验班|交叉学科,工科试验班,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
工程力学|工学|工程技术|产品研发|生产运维|项目实施,工程力学,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
工程管理|工学|运营管理|市场营销|供应链|电子商务,工程管理,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
工程造价|工学|工程技术|产品研发|生产运维|项目实施,工程造价,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
工艺美术|艺术学|设计|文创|艺术教育|展演|制作,工艺美术,艺术学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
市场营销|管理学|管理|商业|运营|销售|品牌管理|市场策划,市场营销,管理学,评级D；学习难度2/5；门槛低，优秀销售不需要专业对口；数字营销是新方向,销售、品牌管理、市场策划,核心课程/能力：消费者行为学、营销策划、品牌管理,就业评级D；学习难度2/5；谨慎选择，需用证书、实习或作品拉开差距
广告学|文学|语言|传媒|内容|广告|营销|广告策划|创意文案|媒介投放,广告学,文学,评级C；学习难度2/5；数字营销方向转型中,广告策划、创意文案、媒介投放,核心课程/能力：广告学、消费者行为、创意设计,就业评级C；学习难度2/5；仍需结合学校层次、城市和实习资源判断
广播电视学|交叉学科,广播电视学,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
广播电视编导|交叉学科,广播电视编导,交叉学科,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
应急管理|管理学|运营管理|市场营销|供应链|电子商务,应急管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
应用化学|理学|理科|科研|数据|材料|新材料|半导体|化工技术员|质检工程师,应用化学,理学,评级B；学习难度3/5；能源/材料/日化方向,化工技术员、质检工程师,核心课程/能力：应用化学、仪器分析、工艺化学,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
应用心理学|理学|科研助理|数据分析|教师|技术支持,应用心理学,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
应用气象学|理学|科研助理|数据分析|教师|技术支持,应用气象学,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
应用物理学|理学|理科|科研|数据|光电工程师|半导体工程师,应用物理学,理学,评级B；学习难度4/5；半导体/光伏方向对口,光电工程师、半导体工程师,核心课程/能力：应用物理、光电子学、材料物理,就业评级B；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
应用统计学|理学|科研助理|数据分析|教师|技术支持,应用统计学,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
康复治疗学|医学|医生|医院|康复|康复治疗师,康复治疗学,医学,评级B；学习难度3/5；老龄化社会需求增长,康复治疗师,核心课程/能力：物理治疗、作业治疗、言语治疗,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
康复物理治疗|医学|医院医技|护理|康复治疗|公共卫生,康复物理治疗,医学,评级B；学习难度4/5；医疗健康刚需强，培养周期和执业资格要求高,医院医技、护理、康复治疗、公共卫生,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；医疗健康刚需强，培养周期和执业资格要求高
建筑学|工学|工科|工程|技术|建筑|设计|城市|建筑设计师|规划师,建筑学,工学,评级C；学习难度4/5；行业周期性低谷，但高端设计人才仍稀缺,建筑设计师、规划师,核心课程/能力：建筑设计、建筑史、城市规划,就业评级C；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
建筑环境与能源应用工程|工学|新能源|储能|双碳|电力系统|自动化控制|新能源设备|智能制造,建筑环境与能源应用工程,工学,评级C；学习难度4/5；电网、新能源和制造业升级带来稳定需求,电力系统、自动化控制、新能源设备、智能制造,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度4/5；电网、新能源和制造业升级带来稳定需求
建筑电气与智能化|工学|AI|人工智能|智能制造|新能源|电力|电网|电力系统|自动化控制|新能源设备,建筑电气与智能化,工学,评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求,电力系统、自动化控制、新能源设备、智能制造,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求
建筑类|工学|工程技术|产品研发|生产运维|项目实施,建筑类,工学,评级C；学习难度4/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度4/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
微机电系统工程|工学|工程技术|产品研发|生产运维|项目实施,微机电系统工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
微电子科学与工程|工学|工科|工程|技术|电子信息|芯片|硬件|半导体|集成电路|集成电路工程师|芯片设计工程师,微电子科学与工程,工学,评级A；学习难度5/5；国家战略急需，绿牌专业，薪酬高(月薪7200+),集成电路工程师、芯片设计工程师,核心课程/能力：半导体物理、集成电路设计、EDA,就业评级A；学习难度5/5；学习压力较高，适合基础扎实且愿意长期投入的学生
德语|文学|内容传播|教育|外贸|公共服务,德语,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容传播、教育、外贸、公共服务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
心理|教育|咨询|用户研究|心理学|理学|理科|科研|数据|师范|教师|心理咨询师|人力资源管理,心理学,理学,评级C；学习难度3/5；社会需求在增长但收入两极分化,用户研究/人力资源/教育测评/心理咨询助理,适合统计基础和沟通能力都较好的学生,就业评级C；学习难度3/5；仍需结合学校层次、城市和实习资源判断
心理学基地班|理学|科研助理|数据分析|教师|技术支持,心理学基地班,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
思想政治教育|法学|教育|师范|教师|教培|教育管理|课程研发,思想政治教育,法学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,教师、教培、教育管理、课程研发,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
意大利语|交叉学科,意大利语,交叉学科,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
戏剧影视文学|艺术学|设计|文创|艺术教育|传媒制作,戏剧影视文学,艺术学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,设计、文创、艺术教育、传媒制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
房地产开发与管理|管理学|运营管理|市场营销|供应链|电子商务,房地产开发与管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
投资学|经济学|银行|证券|保险|财税|企业经营分析,投资学,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
护理学|医学|医生|医院|护理|护士|护理管理者,护理学,医学,评级A；学习难度3/5；人才缺口巨大，三甲医院稳定，但工作辛苦,护士、护理管理者,核心课程/能力：基础护理、内外科护理、急救护理,就业评级A；学习难度3/5；仍需结合学校层次、城市和实习资源判断
政治学与行政学|法学|法律服务|合规|公务员|公共治理,政治学与行政学,法学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,法律服务、合规、公务员、公共治理,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
政治学类|法学|法律服务|合规|公务员|公共治理,政治学类,法学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,法律服务、合规、公务员、公共治理,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
教育学|教育|师范|教师|教育管理者|培训机构|教育研究,教育学,教育学,"评级B；学习难度2/5；非""教师证""对口，偏向管理研究",教育管理者、培训机构、教育研究,核心课程/能力：教育学原理、教育心理学、课程论,就业评级B；学习难度2/5；仍需结合学校层次、城市和实习资源判断
教育技术学|教育学|教育|师范|教师|教育技术师|在线教育设计,教育技术学,教育学,评级C；学习难度3/5；在线教育发展催生新需求,教育技术师、在线教育设计,核心课程/能力：教育技术、多媒体设计、在线教育,就业评级C；学习难度3/5；仍需结合学校层次、城市和实习资源判断
数字印刷工程|工学|工程技术|产品研发|生产运维|项目实施,数字印刷工程,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
数字媒体技术|工学|工科|工程|技术|游戏开发|CG|虚拟现实,数字媒体技术,工学,评级B；学习难度3/5；游戏开发/CG/虚拟现实，广东文化娱乐产业发达,游戏开发/CG/虚拟现实，广东文化娱乐产业发达,参考相近专业的课程和能力要求,就业评级B；学习难度3/5；仍需结合学校层次、城市和实习资源判断
数字媒体艺术|艺术学|设计|文创|艺术教育|展演|制作,数字媒体艺术,艺术学,评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性,设计、文创、艺术教育、展演/制作,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级C；学习难度3/5；行业周期或供需波动较明显，需要靠城市、学校平台、实习和作品提高确定性
数字经济|经济学|银行|证券|保险|财税|企业经营分析,数字经济,经济学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,银行、证券、保险、财税、企业经营分析,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
数学与应用数学|理学|理科|科研|数据|财经|金融|投资|银行|教育|师范|教师|量化分析师|算法工程师,数学与应用数学,理学,评级A；学习难度5/5；万能基础学科，可转行IT/金融/教育,教师、量化分析师、算法工程师,核心课程/能力：数学分析、高等代数、概率论,就业评级A；学习难度5/5；学习压力较高，适合基础扎实且愿意长期投入的学生
数学类|理学|科研助理|数据分析|教师|技术支持,数学类,理学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,科研助理、数据分析、教师、技术支持,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
数据科学与大数据技术|工学|工科|工程|技术|数据|算法|统计|数据分析师|大数据工程师|BI工程师,数据科学与大数据技术,工学,评级A；学习难度4/5；各行业都需要，需求持续增长,数据分析师、大数据工程师、BI工程师,核心课程/能力：统计学、分布式计算、数据挖掘,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
数据计算及应用|工学|数据|算法|统计|软件开发|数据分析|AI应用|信息安全,数据计算及应用,工学,评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品,软件开发、数据分析、算法/AI应用、信息安全,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；数字化和AI应用需求强，但技术迭代快，需要持续学习和项目作品
文化产业管理|管理学|运营管理|市场营销|供应链|电子商务,文化产业管理,管理学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,运营管理、市场营销、供应链、电子商务,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
文化遗产|历史学,文化遗产,历史学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,结合具体课程方向选择行业岗位,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
新材料与应用技术|工学|工程技术|产品研发|生产运维|项目实施,新材料与应用技术,工学,评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累,工程技术、产品研发、生产运维、项目实施,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度4/5；就业面取决于学校平台、城市产业和个人实习/证书积累
新能源材料与器件|工学|新能源|储能|双碳|电力系统|自动化控制|新能源设备|智能制造,新能源材料与器件,工学,评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求,电力系统、自动化控制、新能源设备、智能制造,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求
新能源汽车工程|工学|新能源|储能|双碳|电力系统|自动化控制|新能源设备|智能制造,新能源汽车工程,工学,评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求,电力系统、自动化控制、新能源设备、智能制造,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求
新能源汽车工程技术|工学|新能源|储能|双碳|电力系统|自动化控制|新能源设备|智能制造,新能源汽车工程技术,工学,评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求,电力系统、自动化控制、新能源设备、智能制造,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级A；学习难度4/5；电网、新能源和制造业升级带来稳定需求
新能源科学与工程|工学|工科|工程|技术|新能源|储能|电力|新能源工程师|光伏|风电工程师,新能源科学与工程,工学,评级A；学习难度4/5；多次绿牌，碳中和战略驱动,新能源工程师、光伏/风电工程师,核心课程/能力：新能源技术、储能技术、能源管理,就业评级A；学习难度4/5；学习压力较高，适合基础扎实且愿意长期投入的学生
传媒|内容|广告|新媒体,新闻传播学,文学,传统媒体岗位收缩，新媒体、品牌、内容运营仍有机会但波动大,内容运营/品牌传播/公关/媒体编辑,适合表达强、作品意识强、能适应平台变化的学生,行业波动大，作品集和实习比课堂成绩更影响就业
新闻传播学类|文学|传媒|内容|传播|内容运营|媒体传播|外贸|翻译|教育,新闻传播学类,文学,评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累,内容运营、媒体传播、外贸/翻译、教育,通用画像：按教育部本科专业目录门类和相近专业归类；需结合学校培养方案复核核心课程,就业评级B；学习难度3/5；就业面取决于学校平台、城市产业和个人实习/证书积累
新闻学|文学|语言|传媒|内容|新闻|新媒体|记者|编辑|新媒体运营,新闻学,文学,评级C；学习难度2/5；传统媒体萎缩，新媒体/自媒体是出路,记者、编辑、新媒体运营,核心课程/能力：新闻采访、新闻写作、传播学,就业评级C；学习难度2/5；仍需结合学校层次、城市和实习资源判断
旅游管理|管理学|管理|商业|运营|财经|经济|酒店管理|旅行社|景区管理,旅游管理,管理学,评级D；学习难度2/5；行业受经济波动影响大，疫情后恢复中,酒店管理、旅行社、景区管理,核心课程/能力：旅游学、酒店管理、旅游资源规划,就业评级D；学习难度2/5；谨慎选择，需用证书、实习或作品拉开差距
